0,3.1009174311926606
1,2.4345549738219896
2,2.0902255639097747
3,1.8267716535433072
4,1.6363636363636365
5,2.0166666666666666
6,2.25
7,1.8865979381443299
8,1.6428571428571428
9,1.9782608695652173
10,1.546875
11,1.434782608695652
12,1.375
13,1.875
14,1.8620689655172413
15,1.8823529411764706
16,2
17,1.5384615384615385
18,1.4827586206896552
19,1.2307692307692308
20,1.5
21,1.4
22,1.7647058823529411
23,2.263157894736842
24,1
25,1
26,1.4375
27,1.25
28,3
29,3.5
30,1.0909090909090908
31,2.4
33,1
34,1
35,1
36,1
37,6
39,1
41,1
42,1
45,4
47,1
53,2
57,1
